id,song_name,artist_name,popularity,release_date,genres,danceability,energy,valence,tempo,loudness,duration_ms,key,mode
6F8AaNloqVJwCgIVijHIUd,Extrayendo del Extracto,Hard GZ,27,2018-07-27,"rap politico, rap underground espanol, spanish hip hop",0.724,0.925,0.59,92.952,-4.58,171473,0,1
0Aad4lqazACXNDxmRsxnOn,Afrohard,Hard GZ,32,2018-07-27,"rap politico, rap underground espanol, spanish hip hop",0.619,0.901,0.77,104.302,-5.411,195027,2,1
0ZrDom12tnntosy9CLL1RK,"Birra, Humo y Reflexiones",Hard GZ,41,2018-07-27,"rap politico, rap underground espanol, spanish hip hop",0.673,0.857,0.81,92.107,-7.271,221224,1,1
4xBKcbhssZPlaMsBA1snUn,Experimento,Hard GZ,38,2018-07-27,"rap politico, rap underground espanol, spanish hip hop",0.765,0.913,0.703,114.947,-6.697,206400,2,1
7AR8XzaAJYtTlHAjXcBFON,Piratas,Hard GZ,25,2018-07-27,"rap politico, rap underground espanol, spanish hip hop",0.462,0.915,0.469,153.307,-6.485,180405,1,0
1uHanZ844aIuCAlXWQcv7i,Hereditario,Hard GZ,28,2018-07-27,"rap politico, rap underground espanol, spanish hip hop",0.805,0.838,0.744,89.839,-4.069,208051,5,1
6AGm6W18BNrmq9uWSIIai1,Tiempos,Dirty Suc,45,2022-10-11,,0.677,0.735,0.716,94.047,-6.367,200622,0,0
1RgJNCAsftlbzZMkQdIXoG,Pan Duro,Hard GZ,0,2022-06-02,"rap politico, rap underground espanol, spanish hip hop",0.798,0.476,0.642,92.015,-7.976,157826,5,1
1gnaaJFWj55wRDSh5xJHyy,Chove,Hard GZ,0,2022-04-22,"rap politico, rap underground espanol, spanish hip hop",0.724,0.486,0.714,90.069,-9.224,182000,5,0
37ivCSrHCkGuyyQd1VgvcY,Blaquinazo,Rebeliom do Inframundo,0,2022-03-15,rap galego,0.695,0.837,0.458,92.129,-4.538,232025,2,1
4Huf56u4fIIcQwZb9RSe4A,Silencio,Nikone,0,2022-03-10,"spanish hip hop, urbano espanol",0.696,0.75,0.86,95.006,-9.977,186538,7,0
2B4zfsOe4F1FhQRNx7dBzJ,Vivimos Deprisa,Sofía Gabanna,39,2021-09-16,rap underground espanol,0.738,0.706,0.684,87.964,-7.334,207273,2,1
4fWEe6avmUORESaJNM4WkT,Imperium,Hard GZ,0,2021-07-09,"rap politico, rap underground espanol, spanish hip hop",0.687,0.727,0.721,92.962,-7.554,218662,6,1
6nURGW5GnMN0W1dwWz6Kkw,Tai - Remix,Lupita's Friends,18,2021-02-25,rap espanol,0.673,0.716,0.733,176.854,-8.446,176100,8,1
7JF6Y4YmLgC8BXs6locWRA,Parar,Hard GZ,0,2021-02-19,"rap politico, rap underground espanol, spanish hip hop",0.563,0.512,0.609,138.901,-11.241,184930,1,1
