id,song_name,artist_name,popularity,release_date,genres,danceability,energy,valence,tempo,loudness,duration_ms,key,mode,genre_list,user,rating
2SiAcexM2p1yX6joESbehd,LLYLM,ROSALÍA,62,2023-01-27,"{9: 'pop', 162: 'r&b en espanol'}",0.555,0.634,0.555,170.228,-5.522,174045,6,0,"['pop', 'r&b en espanol']",1,3.7
43MWnijE4yC3hZAjoRQ06N,Aunque Es De Noche,ROSALÍA,45,2017-11-02,"{9: 'pop', 162: 'r&b en espanol'}",0.698,0.29,0.398,137.936,-6.899,253109,4,0,"['pop', 'r&b en espanol']",1,3.1
3oAG0POhkYYkL7XVQpeMFa,A Palé - Gesaffelstein Remix,Gesaffelstein,29,2019-11-01,{372: 'dark clubbing'},0.78,0.488,0.0657,123.001,-9.198,204320,1,1,['dark clubbing'],1,2.6
1CU1MTRABcra8xqqT12jYq,En Mí (Interlude),J Balvin,31,2018-05-25,"{174: 'reggaeton', 191: 'reggaeton colombiano', 175: 'trap latino', 176: 'urbano latino'}",0.273,0.13,0.0643,35.579,-22.208,53560,8,1,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",1,4.8
1HII0EIufOG0nGpWCQixbO,TUYA,ROSALÍA,60,2023-06-08,"{9: 'pop', 162: 'r&b en espanol'}",0.718,0.526,0.575,165.023,-5.377,154552,4,0,"['pop', 'r&b en espanol']",1,4.8
5EmLnaMopRAzdvMVTyPovM,"¡Ay, Paquita! - Performed by ROSALÍA",Paquita Salas,47,2018-07-20,{55: 'unknown'},0.871,0.474,0.771,110.004,-5.801,52642,4,0,['unknown'],1,3.2
7BlBVFwvbWvcwNcUarQmjk,"Yo x Ti, Tu x Mi",ROSALÍA,70,2019-08-15,"{9: 'pop', 162: 'r&b en espanol'}",0.78,0.759,0.579,91.952,-3.292,201040,1,1,"['pop', 'r&b en espanol']",1,2.4
3vgiIJW3iSQRRvgYiW86i9,Brillo,J Balvin,62,2018-05-25,"{174: 'reggaeton', 191: 'reggaeton colombiano', 175: 'trap latino', 176: 'urbano latino'}",0.524,0.384,0.768,145.947,-10.049,159573,9,0,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",1,4.8
2qG5sZ7Si6sdK74qLxedYM,Con Altura,ROSALÍA,69,2019-03-28,"{9: 'pop', 162: 'r&b en espanol'}",0.882,0.689,0.746,97.963,-4.027,161627,6,1,"['pop', 'r&b en espanol']",1,4.0
1F7ZElvJAvWKQ7UaPXg9cF,Barefoot In The Park,James Blake,0,2019-01-18,"{62: 'art pop', 285: 'indie soul', 106: 'indietronica', 315: 'uk alternative pop'}",0.558,0.632,0.519,161.764,-8.339,211200,9,0,"['art pop', 'indie soul', 'indietronica', 'uk alternative pop']",1,3.5
