id,song_name,artist_name,popularity,release_date,genres,danceability,energy,valence,tempo,loudness,duration_ms,key,mode
4L7jMAP8UcIe309yQmkdcO,Lost,Frank Ocean,1,2012-07-10,"lgbtq+ hip hop, neo soul",0.913,0.603,0.497,123.061,-4.892,234093,8,1
6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,Kendrick Lamar,80,2017-04-14,"conscious hip hop, hip hop, rap, west coast rap",0.8,0.585,0.779,126.058,-7.343,213400,10,1
0P6AWOA4LG1XOctzaVu5tt,The Weekend - Funk Wav Remix,SZA,69,2017-12-15,"pop, r&b, rap",0.775,0.573,0.667,101.925,-4.933,171806,11,1
5fdNHVZHbWB1AaXk4RBGVD,Just the Two of Us,"Grover Washington, Jr.",66,1980,soul jazz,0.743,0.429,0.597,95.406,-14.576,443773,10,0
0wXuerDYiBnERgIpbb3JBR,Redbone,Childish Gambino,6,2016-12-02,"atl hip hop, hip hop, rap",0.743,0.344,0.577,160.15,-11.174,326933,1,1
0y60itmpH0aPKsFiGxmtnh,Wait a Minute!,WILLOW,77,2015-01-11,"afrofuturism, pop, post-teen pop, pov: indie",0.764,0.705,0.672,101.003,-5.279,196520,3,0
3l3iCfpZsxbxWJhYoiQNkD,The Feels,Labrinth,63,2023-04-28,"indie poptimism, pop",0.389,0.529,0.424,110.183,-5.763,197466,2,1
31Wlc9ZnraX3JxrvMg9e8H,3 Boys,Omar Apollo,56,2023-02-17,"bedroom pop, bedroom soul",0.548,0.456,0.53,173.839,-5.979,209188,9,1
3FImu2LpSuH6gDHBuFgIbS,DO 4 LOVE,Snoh Aalegra,66,2021-10-29,"alternative r&b, scandinavian r&b, swedish soul",0.367,0.142,0.1,69.827,-12.717,189463,6,0
1boXOL0ua7N2iCOUVI1p9F,Japanese Denim,Daniel Caesar,77,2016-10-21,canadian contemporary r&b,0.707,0.238,0.345,124.156,-8.818,270847,3,1
3nXrCAE44KlevAkQB2XWcN,Gonna Love Me,Teyana Taylor,69,2018-06-23,"alternative r&b, hip pop, r&b, urban contemporary",0.514,0.503,0.311,88.039,-7.094,166998,10,0
2fXwCWkh6YG5zU1IyvQrbs,Broken Clocks,SZA,80,2017-06-09,"pop, r&b, rap",0.692,0.684,0.406,112.912,-7.364,231253,6,1
0bxmVPKnEopTyuMMkaTvUb,Issues/Hold On,Teyana Taylor,59,2018-06-23,"alternative r&b, hip pop, r&b, urban contemporary",0.518,0.523,0.692,93.185,-4.82,185979,7,1
3uouaAVXpQR3X8RYkJyitQ,CYANIDE,Daniel Caesar,70,2019-06-28,canadian contemporary r&b,0.589,0.652,0.486,158.49,-7.498,194960,10,1
0tNuJpBgtE65diL6Q8Q7fI,On & On,Erykah Badu,68,1997-01-01,"afrofuturism, alternative r&b, neo soul, r&b",0.761,0.403,0.346,80.476,-10.424,226133,11,0
39LmTF9RgyakzSYX8txrow,imagine,Ariana Grande,65,2019-02-08,pop,0.729,0.476,0.368,62.519,-4.985,212267,8,1
1TEL6MlSSVLSdhOSddidlJ,needy,Ariana Grande,69,2019-02-08,pop,0.647,0.309,0.195,87.046,-7.948,171573,7,0
4uTvPEr01pjTbZgl7jcKBD,NASA,Ariana Grande,61,2019-02-08,pop,0.747,0.459,0.47,75.021,-6.891,182000,6,1
2hloaUoRonYssMuqLCBLTX,bloodline,Ariana Grande,75,2019-02-08,pop,0.757,0.665,0.643,151.979,-5.194,216893,2,0
3wFLWP0FcIqHK1wb1CPthQ,fake smile,Ariana Grande,60,2019-02-08,pop,0.45,0.619,0.427,83.221,-7.412,208880,9,1
5Il6Oe7lr5XM7A0cWbVQtr,bad idea,Ariana Grande,63,2019-02-08,pop,0.847,0.579,0.569,137.998,-5.314,267107,1,1
27356GVuMPFWiJSZCragoM,make up,Ariana Grande,58,2019-02-08,pop,0.71,0.715,0.479,105.044,-5.371,140693,7,1
2vdBo4ALPYbHRUPKgtE5iC,ghostin,Ariana Grande,65,2019-02-08,pop,0.29,0.364,0.11,103.684,-8.295,271467,9,1
4T652DlATVHe0jdLKaN3Bw,in my head,Ariana Grande,65,2019-02-08,pop,0.662,0.6,0.331,134.972,-6.403,222947,0,1
6ocbgoVGwYJhOv1GgI9NsF,7 rings,Ariana Grande,82,2019-02-08,pop,0.777,0.317,0.33,139.848,-10.732,178627,1,0
3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next",Ariana Grande,78,2019-02-08,pop,0.72,0.654,0.411,106.976,-5.634,207320,1,1
4kV4N9D1iKVxx1KLvtTpjS,"break up with your girlfriend, i'm bored",Ariana Grande,73,2019-02-08,pop,0.727,0.554,0.335,170.0,-5.29,190440,5,0
0v2LUO8oTHnkjQ8MmKuXyk,raindrops (an angel cried),Ariana Grande,56,2018-08-17,pop,0.336,0.231,0.429,168.685,-6.217,37640,1,1
4mLkiFppf8Xvem6BSY34qw,blazed (feat. Pharrell Williams),Ariana Grande,52,2018-08-17,pop,0.795,0.759,0.855,110.021,-6.348,196360,6,1
